internal_record_id,functional_record_id,head_individual_id,head_name,headship_type,size_total,size_adults,size_children_u5,size_school_age,size_elderly,number_of_female_members,number_of_male_members,country,region,district,ward,village,latitude,longitude,altitude,plus_code,address_line_1,address_line_2,postal_code,country_code,dwelling_type,roof_material,wall_material,floor_material,tenure_status,water_source_type,water_distance_minutes,sanitation_type,lighting_source,cooking_fuel_type,assets,programs,score_type,score_definition_id,triggered_by_cr_id,triggered_by_submission_id,computed_score,computed_at
h011,HH-0011,i0045,Anna Walker,FEMALE_HEADED,3,3,0,0,0,2,1,kamuntu,chakula,makali,sura,biluqu,12.4997,66.4602,225,24AB+64,9578 Coleman Summit,Sector 1,000045,KM,PERMANENT,THATCH,STONE,TILE,HOSTED,SPRING,17,SHARED,SOLAR,FIREWOOD,"[{""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Radio"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Radio"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Mobile Phone"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}]","[{""program_name"": ""PROG_HH_SAFETY_NET"", ""program_start_date"": ""2023-04-18"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0011,,3.57,2026-04-01 10:00:11
h012,HH-0012,i0048,Melissa Hernandez,FEMALE_HEADED,7,4,1,2,0,3,4,kamuntu,faraja,sihaya,kusoma,bicha,14.758,65.7896,275,47AB+57,31869 Kimberly Light Suite 749,Sector 4,000048,KM,TEMPORARY,METAL_SHEET,BAMBOO,EARTH,HOSTED,SPRING,20,SHARED,SOLAR,ELECTRICITY,"[{""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Television"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]","[{""program_name"": ""PROG_HH_LIVELIHOOD"", ""program_start_date"": ""2024-06-15"", ""program_exit_date"": null}, {""program_name"": ""PROG_HH_NUTRITION"", ""program_start_date"": ""2023-07-21"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0012,,3.73,2026-04-01 10:00:12
h013,HH-0013,i0055,Brandon King,MALE_HEADED,6,4,0,2,0,2,4,kamuntu,faraja,tunza,kuwasha,bilkua,11.2752,68.3411,292,12AB+83,876 Jacob Lake,Sector 2,000055,KM,PERMANENT,THATCH,STONE,EARTH,HOSTED,SPRING,43,FLUSH_TOILET,GRID,OTHER,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0013,,1.14,2026-04-01 10:00:13
h014,HH-0014,i0061,Kelly Bryant,FEMALE_HEADED,5,5,0,0,0,3,2,kamuntu,faraja,tunza,kuwasha,billah,10.0491,65.1362,264,00AB+51,2174 Hanson Locks,Sector 8,000061,KM,TEMPORARY,TILE,STONE,TILE,OWNED,SPRING,7,PIT_LATRINE,SOLAR,CHARCOAL,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Sewing Machine"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Television"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0014,,1.33,2026-04-01 10:00:14
h015,HH-0015,i0066,Ryan Gonzalez,MALE_HEADED,7,7,0,0,1,5,2,kamuntu,chakula,mfumo,changa,biloxa,19.971,68.9311,53,99AB+89,594 Johnson Village Suite 409,Sector 4,000066,KM,SEMI_PERMANENT,METAL_SHEET,STONE,CEMENT,OWNED,PIPED,25,SHARED,SOLAR,CHARCOAL,"[{""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Plough"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0015,,4.68,2026-04-01 10:00:15
h016,HH-0016,i0073,Melissa Fernandez,FEMALE_HEADED,3,2,0,1,0,1,2,kamuntu,jasiri,baraka,umani,bimana,10.7717,66.7335,225,07AB+67,1796 Johnson Land,Sector 2,000073,KM,SEMI_PERMANENT,THATCH,MUD_BRICK,EARTH,OWNED,WELL,22,FLUSH_TOILET,GRID,FIREWOOD,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Radio"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Mobile Phone"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]","[{""program_name"": ""PROG_HH_LIVELIHOOD"", ""program_start_date"": ""2025-07-10"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0016,,1.43,2026-04-01 10:00:16
h017,HH-0017,i0076,William Jamie Buchanan,MALE_HEADED,7,7,0,0,2,4,3,kamuntu,jasiri,simba,tanzu,bilusi,14.0101,69.9878,90,40AB+99,90422 Lindsey Creek Apt. 205,Sector 5,000076,KM,SEMI_PERMANENT,TARPAULIN,MUD_BRICK,CEMENT,OWNED,PUBLIC_TAP,14,FLUSH_TOILET,KEROSENE,OTHER,"[{""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Radio"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Sewing Machine"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0017,,1.4,2026-04-01 10:00:17
h018,HH-0018,i0083,Sarah Angela Bell,FEMALE_HEADED,3,3,0,0,0,2,1,kamuntu,chakula,njia,barafu,biluhu,17.9575,70.9371,208,79AB+09,9368 Chelsea Shoals,Sector 3,000083,KM,PERMANENT,TILE,BAMBOO,TILE,HOSTED,WELL,5,FLUSH_TOILET,KEROSENE,FIREWOOD,"[{""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]","[{""program_name"": ""PROG_HH_LIVELIHOOD"", ""program_start_date"": ""2024-12-22"", ""program_exit_date"": null}, {""program_name"": ""PROG_HH_SAFETY_NET"", ""program_start_date"": ""2024-09-08"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0018,,4.52,2026-04-01 10:00:18
h019,HH-0019,i0086,Paul Wilson,MALE_HEADED,6,5,0,1,1,3,3,kamuntu,faraja,sihaya,kusoma,bidi,10.6192,65.6312,213,06AB+56,49784 Jeffrey Rapid Apt. 034,Sector 6,000086,KM,PERMANENT,METAL_SHEET,BRICK,EARTH,OWNED,PIPED,27,PIT_LATRINE,GRID,GAS,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Television"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0019,,1.35,2026-04-01 10:00:19
h020,HH-0020,i0092,Leslie Bell,FEMALE_HEADED,7,5,0,2,0,2,5,kamuntu,chakula,rafiki,uhuruumeme,biluju,17.133,69.1788,155,71AB+91,1199 Ford Plaza Apt. 793,Sector 3,000092,KM,SEMI_PERMANENT,METAL_SHEET,MUD_BRICK,EARTH,HOSTED,PUBLIC_TAP,39,SHARED,GRID,CHARCOAL,[],"[{""program_name"": ""PROG_HH_NUTRITION"", ""program_start_date"": ""2023-10-04"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0020,,1.6,2026-04-01 10:00:20
h021,HH-0021,i0099,Pamela Anderson,FEMALE_HEADED,5,5,0,0,0,3,2,kamuntu,kilima,nyani,shimo,bilina,12.5656,71.6254,62,25AB+16,22927 Robert Springs Apt. 794,Sector 1,000099,KM,PERMANENT,TILE,BAMBOO,TILE,HOSTED,SPRING,6,FLUSH_TOILET,GRID,ELECTRICITY,"[{""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Sewing Machine"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]","[{""program_name"": ""PROG_HH_SAFETY_NET"", ""program_start_date"": ""2024-03-28"", ""program_exit_date"": null}, {""program_name"": ""PROG_HH_NUTRITION"", ""program_start_date"": ""2024-06-17"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0021,,2.53,2026-04-01 10:00:21
h022,HH-0022,i0104,Todd Lynch,MALE_HEADED,5,4,0,1,1,2,3,kamuntu,chakula,makali,cheka,bilupu,19.9831,66.9494,248,99AB+69,43410 Robert Underpass Suite 117,Sector 6,000104,KM,TEMPORARY,TILE,BRICK,TILE,RENTED,SPRING,21,SHARED,KEROSENE,FIREWOOD,"[{""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Television"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Plough"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Radio"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Sewing Machine"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Refrigerator"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}]","[{""program_name"": ""PROG_HH_SAFETY_NET"", ""program_start_date"": ""2024-06-23"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0022,,3.57,2026-04-01 10:00:22
h023,HH-0023,i0109,Matthew Mitchell,MALE_HEADED,7,7,0,0,2,3,4,kamuntu,chakula,makali,sura,biluqu,12.4805,66.4473,113,24AB+64,541 Kim Locks,Sector 2,000109,KM,SEMI_PERMANENT,TARPAULIN,STONE,CEMENT,RENTED,PUBLIC_TAP,15,PIT_LATRINE,KEROSENE,OTHER,"[{""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Refrigerator"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0023,,4.79,2026-04-01 10:00:23
h024,HH-0024,i0116,Rodney Jones,MALE_HEADED,7,6,0,1,0,4,3,kamuntu,chakula,njia,barafu,biluja,10.4073,68.4705,87,04AB+84,177 Anderson Village Apt. 268,Sector 9,000116,KM,SEMI_PERMANENT,TILE,STONE,EARTH,RENTED,PUBLIC_TAP,19,SHARED,SOLAR,OTHER,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Sewing Machine"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Plough"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Radio"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0024,,3.4,2026-04-01 10:00:24
h025,HH-0025,i0123,Kathleen Destiny Khan,FEMALE_HEADED,7,4,1,2,0,6,1,kamuntu,faraja,asilani,nguvu,bano,13.6332,66.6511,66,36AB+66,8016 Nicole Stream Suite 650,Sector 7,000123,KM,PERMANENT,TILE,STONE,EARTH,OWNED,SPRING,8,FLUSH_TOILET,GRID,FIREWOOD,"[{""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Plough"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0025,,3.72,2026-04-01 10:00:25
