internal_record_id,functional_record_id,household_id,first_name,middle_name,last_name,full_name,given_name,gender,birth_date,estimated_age,marital_status,phone_numbers,emails,foundational_id,foundational_id_masked,education_level,language_code,image_file,country,region,district,ward,village,latitude,longitude,altitude,plus_code,address_line_1,address_line_2,postal_code,country_code,primary_livelihood,secondary_livelihood,employment_status,coping_strategies_index,mobile_phone_type,disability_status,orphanhood_flag,chronic_illness_flag,displacement_status,pastoralist_classification,high_mobility_indicator,plw_status,plw_status_date,livestock,land,shocks,disabilities,programs
i0011,IND-0011,h003,Benjamin,,Anderson,Benjamin Anderson,Benjamin Anderson,MALE,1968-07-24,57,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000011"", ""is_primary"": true}]",,3361388464,XXXXXX8464,HIGHER_EDUCATION,en,images/IND-0011.jpg,kamuntu,kilima,pembe,upande,bigeu,13.9965,66.0572,158,39AB+60,05183 Caldwell Forest,Sector 3,000011,KM,CRAFT,,SELF_EMPLOYED,0,NONE,,,,,,,,,[],"[{""land_access"": ""FALSE"", ""land_size"": null, ""productive_assets"": ""[\""OTHER\""]""}, {""land_access"": ""TRUE"", ""land_size"": 1.02, ""productive_assets"": ""[\""OTHER\""]""}, {""land_access"": ""FALSE"", ""land_size"": null, ""productive_assets"": ""[\""TRACTOR\""]""}]","[{""shock_type"": ""ILLNESS"", ""shock_date"": ""2025-07-02"", ""shock_period"": ""2025-Q3"", ""coping_strategy"": ""CS_SEEK_AID""}, {""shock_type"": ""CONFLICT"", ""shock_date"": ""2025-05-12"", ""shock_period"": ""2025-Q2"", ""coping_strategy"": ""CS_REDUCE_MEALS""}]",[],"[{""program_name"": ""PROG_HEALTH_INSURANCE"", ""program_start_date"": ""2023-08-07"", ""program_exit_date"": null}]"
i0012,IND-0012,h003,Joshua,,Anderson,Joshua Anderson,Joshua Anderson,MALE,1986-06-06,40,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000012"", ""is_primary"": true}]",esanchez@example.com,7517938612,XXXXXX8612,HIGHER_EDUCATION,en,images/IND-0012.jpg,kamuntu,kilima,pembe,upande,bigeu,13.9821,65.9925,136,39AB+59,16566 Shields Center,Sector 4,000012,KM,GOVT_EMPLOYMENT,,SELF_EMPLOYED,2,NONE,,,,,,,,,[],[],"[{""shock_type"": ""ILLNESS"", ""shock_date"": ""2025-02-21"", ""shock_period"": ""2025-Q1"", ""coping_strategy"": ""CS_SELL_ASSETS""}, {""shock_type"": ""JOB_LOSS"", ""shock_date"": ""2025-01-16"", ""shock_period"": ""2025-Q1"", ""coping_strategy"": ""CS_SELL_ASSETS""}]",[],[]
i0013,IND-0013,h003,Michael,,Anderson,Michael Anderson,Michael Anderson,MALE,2022-07-05,3,SINGLE,"[{""type"": ""mobile"", ""number"": ""+10000000013"", ""is_primary"": true}]",,3710566582,XXXXXX6582,,en,images/IND-0013.jpg,kamuntu,kilima,pembe,upande,bigeu,13.9929,66.0605,270,39AB+60,65133 Amanda Dam,Sector 5,000013,KM,,,,,,NO,FALSE,FALSE,HOST_COMMUNITY,SETTLED,FALSE,NO,,[],[],[],"[{""disability_domain"": ""SELF_CARE"", ""disability_severity"": ""A_LOT_OF_DIFFICULTY""}, {""disability_domain"": ""MOBILITY"", ""disability_severity"": ""A_LOT_OF_DIFFICULTY""}]",[]
i0014,IND-0014,h004,Javier,John,Ramirez,Javier John Ramirez,Javier John Ramirez,MALE,1989-05-26,37,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000014"", ""is_primary"": true}]",ramosmichelle@example.net,3030106617,XXXXXX6617,INTERMEDIARY,en,images/IND-0014.jpg,kamuntu,chakula,njia,wingu,bilufu,17.8385,67.8407,98,78AB+78,80132 Tucker Forest,Sector 6,000014,KM,WAGE_LABOR,,EMPLOYED,7,NONE,,,,,,,,,"[{""livestock_species"": ""CATTLE"", ""livestock_counts"": ""BAND_21_PLUS""}, {""livestock_species"": ""GOATS"", ""livestock_counts"": ""BAND_21_PLUS""}]",[],[],"[{""disability_domain"": ""VISION"", ""disability_severity"": ""CANNOT_DO_AT_ALL""}]",[]
i0015,IND-0015,h004,Sharon,,Ramirez,Sharon Ramirez,Sharon Ramirez,FEMALE,1985-02-21,41,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000015"", ""is_primary"": true}]",,3775320897,XXXXXX0897,CAN_READ_AND_WRITE,en,images/IND-0015.jpg,kamuntu,chakula,njia,wingu,bilufu,17.7661,67.8328,254,77AB+78,0647 Henderson Street,Sector 7,000015,KM,UNEMPLOYED,,EMPLOYED,7,NONE,,,,,,,,,[],[],"[{""shock_type"": ""FLOOD"", ""shock_date"": ""2025-09-22"", ""shock_period"": ""2025-Q3"", ""coping_strategy"": ""CS_BORROW""}]","[{""disability_domain"": ""SELF_CARE"", ""disability_severity"": ""SOME_DIFFICULTY""}, {""disability_domain"": ""MOBILITY"", ""disability_severity"": ""SOME_DIFFICULTY""}]",[]
i0016,IND-0016,h004,Zachary,Jennifer,Ramirez,Zachary Jennifer Ramirez,Zachary Jennifer Ramirez,MALE,1992-01-12,34,SINGLE,"[{""type"": ""mobile"", ""number"": ""+10000000016"", ""is_primary"": true}]",,2986972437,XXXXXX2437,HIGHER_EDUCATION,en,images/IND-0016.jpg,kamuntu,chakula,njia,wingu,bilufu,17.8474,67.7675,256,78AB+77,43098 Julie Centers,Sector 8,000016,KM,SERVICES,,UNEMPLOYED,1,BASIC,NO,FALSE,FALSE,HOST_COMMUNITY,SETTLED,FALSE,NO,,[],"[{""land_access"": ""TRUE"", ""land_size"": 6.56, ""productive_assets"": null}, {""land_access"": ""TRUE"", ""land_size"": 3.95, ""productive_assets"": null}, {""land_access"": ""TRUE"", ""land_size"": 3.68, ""productive_assets"": ""[\""PLOUGH\""]""}]",[],[],[]
i0017,IND-0017,h005,Anthony,,Woods,Anthony Woods,Anthony Woods,MALE,1954-12-01,71,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000017"", ""is_primary"": true}]",brianromero@example.org,7380780055,XXXXXX0055,ILLITERATE,en,images/IND-0017.jpg,kamuntu,kilima,pembe,wingi,bieke,12.8714,71.8901,65,28AB+18,136 Shelly Port,Sector 9,000017,KM,WAGE_LABOR,,SELF_EMPLOYED,1,BASIC,NO,FALSE,FALSE,HOST_COMMUNITY,SETTLED,FALSE,NO,,"[{""livestock_species"": ""GOATS"", ""livestock_counts"": ""BAND_6_10""}, {""livestock_species"": ""CATTLE"", ""livestock_counts"": ""BAND_11_20""}]","[{""land_access"": ""TRUE"", ""land_size"": 9.47, ""productive_assets"": null}]","[{""shock_type"": ""ILLNESS"", ""shock_date"": ""2025-11-24"", ""shock_period"": ""2025-Q4"", ""coping_strategy"": ""CS_BORROW""}]",[],[]
i0018,IND-0018,h005,Danielle,Christine,Woods,Danielle Christine Woods,Danielle Christine Woods,FEMALE,1970-04-21,56,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000018"", ""is_primary"": true}]",ksandoval@example.net,3090237817,XXXXXX7817,HIGHER_EDUCATION,en,images/IND-0018.jpg,kamuntu,kilima,pembe,wingi,bieke,12.869,71.8718,64,28AB+18,3534 Anderson Rue Suite 751,Sector 1,000018,KM,BUSINESS_TRADE,,UNEMPLOYED,2,SMARTPHONE,,,,,,,,,[],"[{""land_access"": ""TRUE"", ""land_size"": 2.64, ""productive_assets"": ""[\""TRACTOR\""]""}, {""land_access"": ""TRUE"", ""land_size"": 7.22, ""productive_assets"": ""[\""OTHER\"", \""TRACTOR\""]""}]","[{""shock_type"": ""JOB_LOSS"", ""shock_date"": ""2025-12-08"", ""shock_period"": ""2025-Q4"", ""coping_strategy"": ""CS_SEEK_AID""}, {""shock_type"": ""FLOOD"", ""shock_date"": ""2025-09-23"", ""shock_period"": ""2025-Q3"", ""coping_strategy"": ""CS_BORROW""}]",[],[]
i0019,IND-0019,h005,Adam,,Woods,Adam Woods,Adam Woods,MALE,2010-10-15,15,SINGLE,"[{""type"": ""mobile"", ""number"": ""+10000000019"", ""is_primary"": true}]",,1676168421,XXXXXX8421,ILLITERATE,en,images/IND-0019.jpg,kamuntu,kilima,pembe,wingi,bieke,12.9461,71.858,97,29AB+18,83842 Ibarra Gardens,Sector 2,000019,KM,CRAFT,AGRICULTURE,RETIRED,2,BASIC,NO,FALSE,FALSE,HOST_COMMUNITY,SETTLED,FALSE,NO,,[],[],[],[],[]
i0020,IND-0020,h006,Jacob,,Moore,Jacob Moore,Jacob Moore,MALE,1954-06-23,72,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000020"", ""is_primary"": true}]",,5647083348,XXXXXX3348,CAN_READ_AND_WRITE,en,images/IND-0020.jpg,kamuntu,jasiri,ndoto,habari,biluzo,12.4657,68.4565,130,24AB+84,808 Huynh Cove Apt. 411,Sector 3,000020,KM,AGRICULTURE,,UNEMPLOYED,1,BASIC,NO,FALSE,TRUE,HOST_COMMUNITY,SETTLED,FALSE,NO,,"[{""livestock_species"": ""GOATS"", ""livestock_counts"": ""BAND_21_PLUS""}]",[],"[{""shock_type"": ""DROUGHT"", ""shock_date"": ""2025-02-20"", ""shock_period"": ""2025-Q1"", ""coping_strategy"": ""CS_REDUCE_MEALS""}, {""shock_type"": ""ILLNESS"", ""shock_date"": ""2025-06-24"", ""shock_period"": ""2025-Q2"", ""coping_strategy"": ""CS_REDUCE_MEALS""}]","[{""disability_domain"": ""HEARING"", ""disability_severity"": ""A_LOT_OF_DIFFICULTY""}]",[]
i0021,IND-0021,h006,Natalie,Juan,Moore,Natalie Juan Moore,Natalie Juan Moore,FEMALE,1986-06-06,40,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000021"", ""is_primary"": true}]",jenniferharris@example.net,7258731893,XXXXXX1893,HIGHER_EDUCATION,en,images/IND-0021.jpg,kamuntu,jasiri,ndoto,habari,biluzo,12.4929,68.4936,52,24AB+84,740 Cynthia Village Suite 005,Sector 4,000021,KM,BUSINESS_TRADE,GOVT_EMPLOYMENT,SELF_EMPLOYED,2,SMARTPHONE,,,,,,,,,[],[],[],[],[]
i0022,IND-0022,h006,Ray,Jose,Moore,Ray Jose Moore,Ray Jose Moore,MALE,2005-07-07,20,SINGLE,"[{""type"": ""mobile"", ""number"": ""+10000000022"", ""is_primary"": true}]",,6344160868,XXXXXX0868,HIGHER_EDUCATION,en,images/IND-0022.jpg,kamuntu,jasiri,ndoto,habari,biluzo,12.4285,68.4438,189,24AB+84,680 Charles Spurs Apt. 805,Sector 5,000022,KM,UNEMPLOYED,CRAFT,UNEMPLOYED,3,SMARTPHONE,,,,,,,,,"[{""livestock_species"": ""CATTLE"", ""livestock_counts"": ""BAND_6_10""}, {""livestock_species"": ""CHICKEN"", ""livestock_counts"": ""BAND_11_20""}]",[],"[{""shock_type"": ""CONFLICT"", ""shock_date"": ""2025-07-14"", ""shock_period"": ""2025-Q3"", ""coping_strategy"": ""CS_SEEK_AID""}, {""shock_type"": ""CONFLICT"", ""shock_date"": ""2025-06-12"", ""shock_period"": ""2025-Q2"", ""coping_strategy"": ""CS_SELL_ASSETS""}]",[],[]
i0023,IND-0023,h007,Kevin,,Hernandez,Kevin Hernandez,Kevin Hernandez,MALE,1986-08-13,39,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000023"", ""is_primary"": true}]",bobbydiaz@example.org,4771526597,XXXXXX6597,BASIC,en,images/IND-0023.jpg,kamuntu,faraja,tunza,kuitwa,bilova,17.8664,71.929,240,78AB+19,31586 Sara Freeway Apt. 260,Sector 6,000023,KM,SERVICES,BUSINESS_TRADE,RETIRED,7,SMARTPHONE,,,,,,,,,"[{""livestock_species"": ""CATTLE"", ""livestock_counts"": ""BAND_1_5""}]",[],"[{""shock_type"": ""JOB_LOSS"", ""shock_date"": ""2025-09-01"", ""shock_period"": ""2025-Q3"", ""coping_strategy"": ""CS_SELL_ASSETS""}]",[],[]
i0024,IND-0024,h007,Cassie,,Hernandez,Cassie Hernandez,Cassie Hernandez,FEMALE,1975-12-11,50,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000024"", ""is_primary"": true}]",,8958199946,XXXXXX9946,ILLITERATE,en,images/IND-0024.jpg,kamuntu,faraja,tunza,kuitwa,bilova,17.8905,71.8651,282,78AB+18,342 Patrick Camp Suite 337,Sector 7,000024,KM,SERVICES,BUSINESS_TRADE,RETIRED,5,BASIC,,,,,,,,,[],"[{""land_access"": ""TRUE"", ""land_size"": 3.71, ""productive_assets"": null}, {""land_access"": ""TRUE"", ""land_size"": 2.5, ""productive_assets"": ""[\""OTHER\""]""}]",[],[],"[{""program_name"": ""PROG_FOOD_AID"", ""program_start_date"": ""2024-08-25"", ""program_exit_date"": null}, {""program_name"": ""PROG_HEALTH_INSURANCE"", ""program_start_date"": ""2023-05-26"", ""program_exit_date"": null}]"
i0025,IND-0025,h007,Hannah,,Hernandez,Hannah Hernandez,Hannah Hernandez,FEMALE,2024-08-09,1,SINGLE,"[{""type"": ""mobile"", ""number"": ""+10000000025"", ""is_primary"": true}]",,4311931853,XXXXXX1853,,en,images/IND-0025.jpg,kamuntu,faraja,tunza,kuitwa,bilova,17.9037,71.8662,239,79AB+18,03654 Tammy Harbors,Sector 8,000025,KM,,,,,,NO,FALSE,FALSE,IDP,SETTLED,FALSE,NO,,[],[],[],[],[]
i0026,IND-0026,h007,Heather,,Hernandez,Heather Hernandez,Heather Hernandez,FEMALE,2001-04-11,25,SINGLE,"[{""type"": ""mobile"", ""number"": ""+10000000026"", ""is_primary"": true}]",,3373077218,XXXXXX7218,ILLITERATE,en,images/IND-0026.jpg,kamuntu,faraja,tunza,kuitwa,bilova,17.883,71.8442,143,78AB+18,14294 Daniel Mews Suite 569,Sector 9,000026,KM,CRAFT,,SELF_EMPLOYED,7,BASIC,,,,,,,,,"[{""livestock_species"": ""CATTLE"", ""livestock_counts"": ""BAND_1_5""}, {""livestock_species"": ""DONKEY"", ""livestock_counts"": ""BAND_11_20""}, {""livestock_species"": ""CAMEL"", ""livestock_counts"": ""BAND_1_5""}]",[],[],[],"[{""program_name"": ""PROG_HEALTH_INSURANCE"", ""program_start_date"": ""2023-01-03"", ""program_exit_date"": null}]"
i0027,IND-0027,h007,Victoria,Rachel,Hernandez,Victoria Rachel Hernandez,Victoria Rachel Hernandez,FEMALE,2007-05-03,19,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000027"", ""is_primary"": true}]",,9051829827,XXXXXX9827,CAN_READ_AND_WRITE,en,images/IND-0027.jpg,kamuntu,faraja,tunza,kuitwa,bilova,17.9374,71.9149,286,79AB+19,0608 Michael Cliff,Sector 1,000027,KM,CRAFT,,RETIRED,4,SMARTPHONE,NO,FALSE,FALSE,IDP,PASTORALIST,TRUE,NO,,[],"[{""land_access"": ""FALSE"", ""land_size"": null, ""productive_assets"": ""[\""OTHER\""]""}]","[{""shock_type"": ""CONFLICT"", ""shock_date"": ""2025-08-08"", ""shock_period"": ""2025-Q3"", ""coping_strategy"": ""CS_SELL_ASSETS""}]",[],"[{""program_name"": ""PROG_HEALTH_INSURANCE"", ""program_start_date"": ""2025-10-07"", ""program_exit_date"": null}]"
i0028,IND-0028,h007,Travis,,Hernandez,Travis Hernandez,Travis Hernandez,MALE,2024-08-12,1,SINGLE,"[{""type"": ""mobile"", ""number"": ""+10000000028"", ""is_primary"": true}]",,6360837474,XXXXXX7474,,en,images/IND-0028.jpg,kamuntu,faraja,tunza,kuitwa,bilova,17.8559,71.9101,147,78AB+19,148 Estrada Islands Suite 482,Sector 2,000028,KM,,,,,,NO,TRUE,FALSE,HOST_COMMUNITY,SETTLED,FALSE,NO,,[],[],[],[],[]
i0029,IND-0029,h007,Corey,,Hernandez,Corey Hernandez,Corey Hernandez,MALE,2003-04-30,23,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000029"", ""is_primary"": true}]",lbyrd@example.net,4742303947,XXXXXX3947,ILLITERATE,en,images/IND-0029.jpg,kamuntu,faraja,tunza,kuitwa,bilova,17.8623,71.906,152,78AB+19,8044 Russell Prairie Suite 777,Sector 3,000029,KM,BUSINESS_TRADE,LIVESTOCK,RETIRED,0,NONE,,,,,,,,,[],"[{""land_access"": ""TRUE"", ""land_size"": 1.02, ""productive_assets"": null}, {""land_access"": ""TRUE"", ""land_size"": 2.02, ""productive_assets"": ""[\""TRACTOR\"", \""OTHER\""]""}, {""land_access"": ""TRUE"", ""land_size"": 0.25, ""productive_assets"": null}]",[],[],[]
i0030,IND-0030,h008,Megan,,Dixon,Megan Dixon,Megan Dixon,FEMALE,1982-07-28,43,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000030"", ""is_primary"": true}]",donnacampbell@example.net,5033992825,XXXXXX2825,BASIC,en,images/IND-0030.jpg,kamuntu,faraja,tunza,kufa,bilosi,10.3015,69.387,95,03AB+93,34332 Brandon Mountains Apt. 769,Sector 4,000030,KM,SERVICES,GOVT_EMPLOYMENT,RETIRED,6,NONE,,,,,,,,,[],"[{""land_access"": ""TRUE"", ""land_size"": 2.63, ""productive_assets"": ""[\""OTHER\"", \""PLOUGH\""]""}, {""land_access"": ""TRUE"", ""land_size"": 5.61, ""productive_assets"": ""[\""OTHER\"", \""TRACTOR\""]""}, {""land_access"": ""FALSE"", ""land_size"": null, ""productive_assets"": ""[\""PLOUGH\"", \""OTHER\""]""}]",[],"[{""disability_domain"": ""MOBILITY"", ""disability_severity"": ""CANNOT_DO_AT_ALL""}]",[]
i0031,IND-0031,h008,Cory,Troy,Dixon,Cory Troy Dixon,Cory Troy Dixon,MALE,1985-02-25,41,MARRIED,"[{""type"": ""mobile"", ""number"": ""+10000000031"", ""is_primary"": true}]",,5791662169,XXXXXX2169,ILLITERATE,en,images/IND-0031.jpg,kamuntu,faraja,tunza,kufa,bilosi,10.38,69.309,61,03AB+93,01632 Williams Gateway,Sector 5,000031,KM,WAGE_LABOR,CRAFT,SELF_EMPLOYED,7,NONE,,,,,,,,,[],[],[],"[{""disability_domain"": ""HEARING"", ""disability_severity"": ""A_LOT_OF_DIFFICULTY""}, {""disability_domain"": ""COGNITION"", ""disability_severity"": ""A_LOT_OF_DIFFICULTY""}]",[]
i0032,IND-0032,h008,Thomas,,Dixon,Thomas Dixon,Thomas Dixon,MALE,2014-01-28,12,SINGLE,"[{""type"": ""mobile"", ""number"": ""+10000000032"", ""is_primary"": true}]",,7971399399,XXXXXX9399,BASIC,en,images/IND-0032.jpg,kamuntu,faraja,tunza,kufa,bilosi,10.3563,69.3025,280,03AB+93,8895 Salazar Stravenue,Sector 6,000032,KM,,,,,,NO,FALSE,FALSE,HOST_COMMUNITY,SETTLED,FALSE,NO,,[],[],[],[],[]
